family,models_canonical,downloads_canonical,downloads_pkg_total,providers_unique,unaligned_share,params_median
qwen,329,350698,594210,264,0.9179331306990881,
llama,360,332728,462805,270,0.8138888888888889,
none,756,229871,396967,548,0.47619047619047616,
gemma,104,112165,224216,121,0.8846153846153846,
gpt,9,66410,99210,10,0.8888888888888888,
mistral,42,58163,66817,54,0.7142857142857143,
huihui,23,49220,104498,15,1.0,
dirty,6,25336,32676,6,1.0,
l3.2,3,22478,26493,8,1.0,
wizard,4,22331,36643,6,1.0,
yi,7,21921,22804,4,0.8571428571428571,
innospark,1,18120,24539,1,1.0,
mindlink,1,17836,21798,1,1.0,
sky,5,16825,20272,4,1.0,
wizardlm,11,15343,26892,17,1.0,
phi,43,15007,33092,88,0.8837209302325582,
baichuan,1,12926,14775,1,1.0,
glm,14,12305,16263,19,1.0,
qwq,14,9241,16283,33,1.0,
l3.1,21,9103,17116,15,0.9523809523809523,
solar,3,8316,10463,6,1.0,
sex,1,8282,9370,2,1.0,
bellatrix,8,7505,9027,2,1.0,
reka,1,6959,6959,1,1.0,
model,36,6841,7138,18,0.6111111111111112,
deepseek,26,5587,7488,11,0.9230769230769231,
neuraldaredevil,3,5403,9871,19,1.0,
roleplay,3,5243,5742,1,0.0,
exaone,10,5172,6359,10,1.0,
doctor,1,5001,6299,1,1.0,
falcon,13,4441,6558,12,1.0,
judas,1,3990,4071,2,1.0,
writing,1,3543,5502,6,0.0,
guanaco,5,3376,5001,5,1.0,
uncensored,9,2676,3749,4,1.0,
rombo,1,2327,3427,3,1.0,
zeus,6,2314,3110,3,1.0,
kanana,2,2306,2429,4,1.0,
granite,13,2144,3307,9,1.0,
aya,5,2089,4008,14,0.8,
l3.3,1,1825,2017,1,0.0,
seed,3,1602,2909,5,1.0,
l3,12,1398,2624,8,0.9166666666666666,
darkidol,5,1373,1870,2,1.0,
peach,2,1359,2659,9,0.0,
magistral,2,1330,4899,6,0.5,
smollm2,5,1245,1737,8,0.6,
[],1,1237,2527,7,1.0,
fastthink,2,1193,1193,2,1.0,
internlm,6,1143,1613,7,1.0,
gigachat,1,1136,1436,1,1.0,
jamet,1,1108,1124,1,1.0,
command,4,1093,1902,4,1.0,
sexygpt,1,1046,2651,4,1.0,
openthinker,5,1027,1538,5,1.0,
drakidol,1,1013,1901,2,0.0,
janus,1,986,986,1,0.0,
fluentlylm,2,948,1254,2,1.0,
devstral,2,867,1149,2,1.0,
stablelm,3,860,1411,3,0.3333333333333333,
control,2,860,958,2,0.0,
drmedra4b,3,859,1349,1,1.0,
seallms,4,807,1304,3,1.0,
marco,3,789,1107,10,1.0,
elita,1,776,1192,3,1.0,
medran,3,776,1404,3,1.0,
dukunlm,1,775,968,1,1.0,
motherearth,2,712,799,2,1.0,
unfilteredai,2,709,750,3,1.0,
kat,1,703,1131,1,1.0,
s1,2,628,732,3,1.0,
dria,4,618,1107,5,1.0,
nemotron,4,580,739,3,1.0,
datarus,1,572,887,1,1.0,
hermes,3,571,845,2,1.0,
daredevil,2,563,1364,11,1.0,
scifi,1,536,678,1,0.0,
homunculus,1,528,1091,2,1.0,
l2,2,521,689,2,1.0,
orca,5,512,655,4,1.0,
openthinker2,2,508,638,3,1.0,
swallowmaid,1,507,843,3,1.0,
roleplaylake,2,506,1008,6,0.0,
vanilla,2,503,593,1,0.0,
aura,2,497,985,6,1.0,
opencoder,2,497,719,3,1.0,
nemo,1,491,603,1,1.0,
dippy,5,481,560,1,0.0,
internvl3,5,460,460,1,1.0,
medra4b,1,454,685,3,1.0,
szilviab,3,436,897,3,1.0,
megatron,2,422,567,2,1.0,
ministral,2,420,420,1,1.0,
am,2,401,737,3,1.0,
tigers,2,395,513,2,1.0,
lingshu,1,389,776,1,1.0,
distilbert,2,374,387,4,1.0,
nexus,1,372,541,3,0.0,
nord,1,356,773,1,1.0,
sailor2,2,354,557,2,1.0,
memgpt,1,346,588,2,1.0,
deepthought,1,344,410,2,1.0,
arcee,2,338,513,3,1.0,
qvq,2,327,423,3,1.0,
jailbreak,2,323,323,1,1.0,
darkdaredevilaura,1,317,559,2,1.0,
medguide,1,308,395,1,1.0,
darkauraunholy,1,305,555,2,1.0,
mdeberta,1,303,348,2,1.0,
lucie,2,300,409,3,1.0,
jailbrokeai,1,293,323,1,0.0,
hermes3,1,288,351,1,1.0,
samantha,2,286,458,1,0.0,
dp,2,285,390,1,0.5,
a.x,1,284,341,1,1.0,
codestral,2,281,506,2,1.0,
medgpt,1,272,325,1,1.0,
baronllm,1,268,268,1,1.0,
deneb,1,264,420,1,0.0,
xortron22b,1,260,348,2,1.0,
boto,1,249,368,1,1.0,
davidau,1,242,442,1,1.0,
chatframe,1,241,302,2,1.0,
darkunholydaredevil,2,235,368,2,1.0,
pythia,3,231,251,3,0.3333333333333333,
qrwkv6,2,225,305,2,1.0,
loxa,1,223,345,1,1.0,
athene,2,222,283,2,1.0,
fino1,2,219,324,2,1.0,
jett,1,218,364,1,1.0,
triangulum,1,217,217,1,1.0,
darkneuraldaredevil,1,212,316,2,1.0,
deep,1,209,209,1,1.0,
openhands,2,199,333,3,1.0,
minimedra,1,194,223,1,1.0,
tinyr1,2,192,268,2,1.0,
collective,1,192,236,2,0.0,
vicuzard,1,186,186,1,1.0,
lix,2,186,227,2,1.0,
deepscaler,2,186,379,6,1.0,
smallthinker,2,174,410,4,1.0,
vicuna,2,169,303,2,1.0,
medraq,1,163,240,1,1.0,
,1,161,257,1,0.0,
illustrious,1,158,158,1,1.0,
smollm,2,157,172,2,0.0,
harmfulproject,2,155,216,2,1.0,
apollo,2,155,185,3,0.0,
nyx,1,145,270,1,0.0,
unaligned,3,143,170,1,0.0,
jan,3,142,142,1,1.0,
megrez,2,139,231,4,1.0,
uwu,2,138,228,4,1.0,
wizardvicuna,1,137,137,1,1.0,
t,1,136,226,6,1.0,
barcenas,1,129,140,1,1.0,
light,2,127,161,2,1.0,
s1.1,2,121,354,5,1.0,
reverb,2,120,225,2,1.0,
monah,1,115,284,3,1.0,
acegpt,2,114,114,2,0.0,
huatuogpt,3,110,110,1,0.0,
foundation,2,109,112,3,1.0,
uncensoredlm,3,104,104,2,0.6666666666666666,
abliterated,2,103,153,2,1.0,
procyon,1,97,133,1,1.0,
vmlu,2,96,99,2,1.0,
kimi,1,95,110,1,1.0,
sigil,1,82,82,2,1.0,
roleplai,1,69,110,1,1.0,
smollm3,1,59,64,2,1.0,
neuraldarkdevil,1,59,83,1,1.0,
luna,1,57,64,2,1.0,
ii,1,56,56,1,1.0,
roleplayv2e6,2,53,58,2,0.0,
q3,1,47,47,1,1.0,
cydonia,1,47,47,1,0.0,
westlake,2,44,89,3,0.0,
homunculus'],1,35,35,1,1.0,
x,1,35,35,1,1.0,
8b,9,27,27,1,0.0,
jupiter,1,27,37,1,1.0,
vecteus,1,25,32,3,1.0,
eidolon,1,25,28,2,1.0,
smollumi,1,24,24,1,1.0,
nvila,1,24,24,1,0.0,
buddyglassuncensored2025.2,1,20,20,1,1.0,
deberta,2,19,19,2,0.0,
t5,1,17,17,1,0.0,
instella,1,17,18,2,1.0,
pixtral,1,16,16,1,0.0,
flux.1,1,16,16,2,0.0,
moonlight,2,16,16,1,1.0,
albert,1,16,16,1,0.0,
esm2,1,14,14,1,0.0,
apriel,1,13,13,1,1.0,
codet5p,1,13,13,1,0.0,
openhermes,1,11,11,1,1.0,
3,1,11,27,1,0.0,
xlm,1,10,10,1,0.0,
merged,1,10,10,1,0.0,
h2o,1,8,8,1,1.0,
teuken,1,8,8,1,1.0,
magnum,1,7,7,1,1.0,
anjir,1,7,7,1,1.0,
electra,1,7,7,1,0.0,
forgotten,2,6,6,2,0.5,
beepo,1,6,6,1,1.0,
dracarys2,1,6,6,1,1.0,
hammer2.0,1,5,5,1,1.0,
3epoch,1,5,5,1,0.0,
original,1,5,62,1,1.0,
llava,1,4,4,1,0.0,
mimo,2,4,4,1,1.0,
prompt,1,4,4,1,0.0,
storytime,1,4,4,1,0.0,
mt5,1,3,3,1,0.0,
community,1,3,12,1,0.0,
dpo,1,3,6,1,0.0,
fusechat,1,3,3,1,1.0,
mrroboto,1,3,3,1,0.0,
belle,1,2,2,1,0.0,
zephyr,1,2,2,1,0.0,
mixtral,1,2,2,1,0.0,
sentence,1,2,2,1,0.0,
tiny,1,2,2,1,1.0,
llm,1,1,1,1,0.0,
g3,1,1,2,1,0.0,
dia,1,0,0,1,0.0,
distilroberta,1,0,0,1,1.0,
doujinshi,1,0,0,2,0.0,
deepcoder,1,0,0,1,0.0,
noromaid,1,0,0,1,0.0,
hidream,1,0,0,1,1.0,
tifa,1,0,0,1,0.0,
