family,packaging,repos,downloads
,gguf,2,257
3,gguf,1,11
3,safetensors,4,16
3epoch,bin,1,5
8b,safetensors,9,27
[],gguf,3,845
[],pt,4,9
[],safetensors,10,1673
a.x,gguf,2,341
abliterated,gguf,3,153
acegpt,gguf,2,114
albert,none,1,16
am,gguf,3,611
am,pt,1,126
anjir,safetensors,2,19
apollo,gguf,1,147
apollo,pt,2,14
apollo,safetensors,2,16
apriel,safetensors,1,13
arcee,gguf,10,430
arcee,safetensors,1,83
astral,gguf,1,0
athene,gguf,2,276
athene,safetensors,1,7
aura,gguf,5,943
aura,pt,2,12
aura,safetensors,5,31
aya,bin,1,3
aya,gguf,30,2876
aya,pt,4,1129
baichuan,gguf,2,14775
barcenas,gguf,2,140
baronllm,gguf,1,268
beepo,safetensors,1,6
bellatrix,gguf,5,8994
bellatrix,safetensors,4,33
belle,safetensors,1,2
boto,gguf,2,368
buddyglassuncensored2025.2,gguf,1,20
chai,safetensors,1,3
chatframe,gguf,2,302
codestral,gguf,2,500
codestral,safetensors,1,6
codet5p,bin,1,13
collective,gguf,2,236
command,gguf,5,1791
command,pt,1,108
command,safetensors,1,3
community,safetensors,3,9
control,gguf,2,956
control,safetensors,1,2
cydonia,bin,1,0
cydonia,safetensors,1,47
daredevil,bin,1,41
daredevil,gguf,9,1124
daredevil,safetensors,2,43
darkauraunholy,gguf,3,555
darkdaredevilaura,gguf,3,559
darkest,safetensors,1,1774
darkidol,gguf,9,1870
darkneuraldaredevil,gguf,3,316
darkunholydaredevil,gguf,6,368
datarus,gguf,2,887
davidau,gguf,2,442
deberta,bin,2,19
deep,gguf,1,209
deepcoder,safetensors,1,0
deepscaler,gguf,11,375
deepscaler,safetensors,1,4
deepseek,bin,5,52
deepseek,gguf,19,7242
deepseek,pt,19,37
deepseek,safetensors,3,157
deepthought,gguf,4,410
deneb,gguf,2,420
devstral,gguf,2,1146
devstral,pt,1,3
dia,none,1,0
dippy,gguf,6,560
dirty,gguf,19,32676
distilbert,bin,5,387
distilroberta,bin,1,0
doctor,gguf,2,6299
doujinshi,gguf,3,0
dp,gguf,3,390
dpo,pt,2,6
dracarys2,safetensors,1,6
drakidol,gguf,2,1864
drakidol,safetensors,2,37
dria,gguf,19,1092
dria,safetensors,2,15
drmedra4b,gguf,6,1349
dukunlm,gguf,2,968
eidolon,gguf,3,28
electra,bin,1,7
elita,gguf,4,1192
esm2,bin,1,14
exaone,gguf,18,2738
exaone,safetensors,11,3621
falcon,bin,1,2
falcon,gguf,50,5814
falcon,pt,8,738
falcon,safetensors,2,4
fastthink,gguf,1,1186
fastthink,safetensors,1,7
fino1,gguf,2,320
fino1,safetensors,1,4
fluentlylm,gguf,2,1249
fluentlylm,safetensors,1,5
flux.1,safetensors,2,16
forgotten,safetensors,2,6
foundation,gguf,2,67
foundation,safetensors,1,45
fusechat,safetensors,1,3
g3,gguf,2,2
gemma,bin,19,5431
gemma,gguf,307,184670
gemma,none,6,28
gemma,pt,26,2651
gemma,safetensors,102,29662
gigachat,gguf,2,1436
glm,gguf,48,15877
glm,none,1,0
glm,pt,2,26
glm,safetensors,7,360
gpt,bin,1,51
gpt,gguf,15,93735
gpt,pt,14,5424
granite,gguf,41,3220
granite,pt,2,4
granite,safetensors,7,83
guanaco,bin,1,7
guanaco,gguf,13,3840
guanaco,pt,3,1119
guanaco,safetensors,2,28
h2o,safetensors,1,8
hammer2.0,safetensors,1,5
harmfulproject,gguf,2,208
harmfulproject,safetensors,1,8
hermes,gguf,5,815
hermes,safetensors,2,16
hermes3,gguf,2,351
hidream,safetensors,1,0
homunculus,gguf,8,1091
homunculus'],safetensors,1,35
huatuogpt,gguf,3,110
huihui,gguf,121,104498
ii,safetensors,1,56
illustrious,safetensors,1,158
innospark,gguf,2,24539
instella,pt,1,1
instella,safetensors,1,17
internlm,gguf,16,1373
internlm,pt,3,31
internlm,safetensors,1,209
internvl3,safetensors,5,460
jailbreak,gguf,2,323
jailbrokeai,gguf,2,323
jamet,safetensors,2,1115
jan,bin,1,23
jan,safetensors,2,119
janus,pt,1,986
jett,gguf,2,364
