canonical_model_key,packaging,repos,downloads
,gguf,3,845
,pt,4,9
,safetensors,10,1673
0-6b-abliterated,gguf,1,47
04ac86b67129634da93aea76e0147ef3,onnx,1,0
111,none,1,0
1234543,none,1,0
128g,bin,2,30
1g-act-order,bin,1,13
20250409-llama-3-1-8b-gemini-label-nofilter-e1-lr2e-06,none,1,0
20250410-llama-3-1-8b-instruct-prm-soft-label-nofilter-e1-lr2e-05,none,1,0
20250714-05-21-38-global-step2061-mp-rank-00-model-states,pt,1,0
20250714-09-31-19-global-step1033-mp-rank-00-model-states,pt,1,0
3-8b-unaligned-alpha-rp-soup,gguf,1,11
3-8b-unaligned-alpha-rp-soup,safetensors,4,16
3e111mp7cj0-abyssorangemix2sfw-abyssorangemix2sfw,safetensors,1,0
5-veltha-14b-0-5,safetensors,2,6
8b-rp-unaligned-base,safetensors,1,3
8b-unaligned-base,safetensors,1,3
8b-unaligned-base-v2g,safetensors,1,3
8b-unaligned-base-v2k,safetensors,1,3
8b-unaligned-base-v2l,safetensors,1,3
8b-unaligned-base-v2n,safetensors,1,3
8b-unaligned-base-v2o,safetensors,1,3
8b-unaligned-base-v2y,safetensors,1,3
8b-unaligned-base-v3g,safetensors,1,3
a-x-4-0-abliterated,gguf,2,341
abhard,safetensors,1,0
abliterated-3-2,gguf,1,8
abliterated-dolphin3-0-r1-mistral-24b,gguf,1,233
abliterated-fusebench-3-2-1b,gguf,2,145
abliterated-unhinged-rp-alpha-v1-llama-3-3-70b,gguf,3,571
acegpt-v1-5-13b-chat-xs,gguf,1,14
acegpt-v1-5-13b-xs,gguf,1,14
acegpt-v2-32b,gguf,1,58
acegpt-v2-32b-chat-xs,gguf,1,15
acegpt-v2-32b-xs,gguf,1,23
acegpt-v2-70b-chat-xs,gguf,1,7
acegpt-v2-8b-chat,gguf,1,56
acegpt-v2-8b-chat-xs,gguf,1,2
acereason-nemotron-14b,safetensors,1,5
acereason-nemotron-14b-abliterated,gguf,1,218
acereason-nemotron-7b,safetensors,1,44
acereason-nemotron-7b-abliterated,gguf,7,472
adapter-model,bin,60,146
adapter-model,gguf,1,37
adapter-model,pt,63,23
agentic-qwen3-4b-e12-lr4-b2-unfiltered,gguf,1,284
ai-companion-emotional-roleplay-2025,none,1,0
aiaf-nozomi-matsuoka-ponyxl,pt,1,0
aisi,none,1,0
ajibawa-2023-uncensored-jordan-13b-k-s,gguf,1,17
ajibawa-2023-uncensored-jordan-7b-k-s,gguf,1,7
albert-base-v2,none,1,16
alientelligence-roleplaymaster-llama-8-03b,gguf,1,0
alpaca-roleplay,none,1,0
am-thinking-v1,pt,1,126
am-thinking-v1-abliterated,gguf,3,611
anjir-8b-l3,safetensors,1,7
antiwoke-1b-roleplay,gguf,1,7
apollo-0-5b,gguf,1,11
apollo-0-5b-xs,gguf,1,89
apollo-1-8b-nl,gguf,1,50
apollo-2b,gguf,2,155
apollo-2b-xs,gguf,1,39
apollo-6b,gguf,1,4
apollo-6b-xs,gguf,1,68
apollo-7b,pt,2,14
apollo-7b,safetensors,2,16
apollo-7b-xs,gguf,2,159
apriel-5b-instruct,safetensors,1,13
arcee-blitz,safetensors,1,83
arcee-blitz-abliterated,gguf,10,430
arliai-llama-3-8b-dolfin-v0-6-abliterated,gguf,6,493
arliai-llama-3-8b-dolfin-v0-6-abliterated-dpo,gguf,1,52
ast-jailbreak-classification,none,1,0
athene-v2-chat,safetensors,1,7
athene-v2-chat-abliterated,gguf,2,276
athene-v2-chat-abliterated-k-m,gguf,1,27
aura-llama-abliterated,gguf,2,242
aura-llama-abliterated-v3,gguf,1,206
aura-llama3,gguf,1,393
aura-llama3,safetensors,5,55
aura-uncensored-l3-8b,gguf,1,206
aura-uncensored-l3-8b,pt,2,12
aura-uncensored-l3-8b,safetensors,4,24
aura-uncensored-l3-8b-0-4-4,gguf,1,420
aura-uncensored-oas-8b-l3,gguf,4,737
aura-uncensored-oas-8b-l3,safetensors,1,6
aura-uncensored-oas-8b-l3-xs,gguf,1,81
awanllm-llama-3-8b-dolfin-v0-6-abliterated-dpo,gguf,1,60
aya-23-8b,bin,1,3
aya-expanse-32b,pt,1,21
aya-expanse-32b-abliterated,gguf,9,883
aya-expanse-32b-abliterated,pt,2,62
aya-expanse-8b,gguf,4,1260
aya-expanse-8b,pt,1,1046
aya-expanse-8b-abliterated,gguf,17,733
babymistral,safetensors,1,54
badmistral-1-5b-nl,gguf,1,307
baichuan-m2-32b-abliterated,gguf,2,14775
barcenas-tiny-1-1b-dpo,gguf,2,140
bellatrix-tiny-1b-r1,safetensors,1,13
bellatrix-tiny-1b-r1-abliterated,gguf,1,1487
bellatrix-tiny-1b-v2,safetensors,1,8
bellatrix-tiny-1b-v2-abliterated,gguf,1,1543
bellatrix-tiny-1b-v3,safetensors,1,8
bellatrix-tiny-1b-v3-abliterated,gguf,1,1522
bellatrix-tiny-3b-r1,safetensors,1,4
bellatrix-tiny-3b-r1-abliterated,gguf,2,4442
belle,safetensors,1,2
best-mlp-model,pt,1,0
best-model,pt,1,0
blast-processing-3-2-1b,safetensors,1,8
bllossom-aica-5b-roleplay-sft-2,none,1,0
bluepencilxl-v500,safetensors,1,0
bogush-freedom-gasmask,none,1,0
boto-9b-portuguese-abliterated,gguf,2,368
buddyglassuncensored2025-2,gguf,1,20
c4ai-command-a-03-2025,safetensors,1,3
c4ai-command-a-03-2025-abliterated,gguf,2,147
c4ai-command-r7b-12-2024,pt,1,108
c4ai-command-r7b-12-2024-abliterated,gguf,3,1644
calme-2-3-llama3-1-70b,safetensors,2,7
camel-13b-role-playing-data,gguf,3,760
camel-13b-role-playing-data,pt,1,12
camel-13b-role-playing-data,safetensors,1,8
camel-13b-role-playing-data-k-l,bin,1,16
camel-13b-role-playing-data-superhot-8k-ggmlv3-k-l,bin,1,0
camel-13b-roleplay-ggmlv3-k-l,bin,1,0
camel13b-ggml-model,bin,1,0
carsenk-llama3-2-1b-2025-uncensored-v2,gguf,1,5
chai-ddpo,safetensors,4,12
character-ai-roleplay-unfiltered,none,1,0
chatframe-uncensored-instruct-small,gguf,2,302
chatframe-uncensored-instruct-small-xs,gguf,1,284
checkpoint-1000-adapter-model,bin,1,0
checkpoint-10000-model,safetensors,1,0
checkpoint-10000-model-00001-of-00002,safetensors,1,0
checkpoint-104-global-step104-zero-pp-rank-0-mp-rank-00-optim-states,bin,1,3
checkpoint-10400,none,1,0
checkpoint-1250-model-00001-of-00006,bin,1,2
checkpoint-14-global-step13-zero-pp-rank-0-mp-rank-00-optim-states,bin,1,0
checkpoint-1700-adapter-model,bin,1,3
checkpoint-2000-model-00001-of-00004,bin,1,5
checkpoint-204-adapter-model,bin,1,9
checkpoint-22-global-step22-zero-pp-rank-0-mp-rank-00-optim-states,bin,3,0
checkpoint-2603-model-00001-of-00006,bin,1,2
checkpoint-437-model-00001-of-00006,bin,1,2
checkpoint-6-adapter-model,bin,1,2
checkpoint-83-global-step83-zero-pp-rank-0-mp-rank-00-optim-states,bin,1,0
checkpoint-p0-best-000014776-7565312-reward-804-786,pt,1,0
checkpoint-p0-best-000113072-57892864-reward-4726-118,pt,1,0
checkpoints-checkpoint-1000,pt,1,0
checkpoints-checkpoint-10000,pt,1,0
codellama-13b-instruct-hf,safetensors,1,13
codellama-13b-instruct-hf-abliterated,gguf,2,660
codellama-34b-instruct-hf,safetensors,1,6
codellama-34b-instruct-hf-abliterated,gguf,2,739
