provider,canonical_models_hosted,downloads_canonical,downloads_pkg_total
mradermacher,714,629302,937709
davidau,51,219404,277767
bartowski,41,103998,156843
huihui-ai,130,75472,108689
thebloke,30,70985,122577
mlabonne,14,58335,139214
quantfactory,32,33077,41240
byroneverson,8,32312,32362
m-polignano,1,30381,30381
unfilteredai,5,29246,36809
freedomintelligence,26,25211,38548
nidum,5,20391,23028
failspy,8,20042,44104
orenguteng,4,19722,19722
devquasar,18,16905,24597
prithivmlmods,10,16161,29918
reissbaker,1,11454,11472
mlx-community,10,10543,24929
richarderkhov,129,9673,9822
chuanli11,1,9489,14389
tensorblock,20,9024,15621
goekdeniz-guelmez,10,7178,14861
quixiai,4,6250,14910
jackhhao,1,4870,22998
monero,2,4509,6078
mungert,5,4241,4305
stephenlzc,4,4228,4246
john6666,2,4155,10680
aibroapp,7,4119,5313
pixasocial,1,3502,3502
ajibawa-2023,2,3484,7085
legraphista,3,3357,6796
novaciano,17,3254,4461
grimjim,3,2628,5226
chun121,2,2135,2148
modelslab,1,2129,2171
jarradh,1,2060,2060
concedo,1,1920,1920
zetasepic,3,1840,3280
guilherme34,8,1753,3689
chenrm,4,1673,1673
aratron1811,1,1672,6239
heegyu,1,1669,1669
carsenk,3,1593,1722
mitkox,1,1515,1519
solidrust,2,1478,4976
koitenshin,4,1439,1577
lwdcls,8,1418,1418
second-state,1,1345,3884
thirdeyeai,7,1334,1579
themex1380,1,1325,2451
nlpark,1,1268,1268
georgesung,2,1264,1264
icepvp8977,15,1250,1260
roslein,2,1194,1826
v8karlo,6,1193,1219
featherless-ai-quants,11,1167,1643
lenml,1,1126,2306
madhurjindal,3,1088,1337
kukedlc,1,1063,1063
sicariussicariistuff,4,1038,3584
maddes8cht,3,1012,1012
amarck,1,1001,1046
braindao,3,959,1218
brittlewis12,2,906,906
zeroww,17,897,897
ryzen88,1,878,976
nightmedia,1,850,2078
case01,1,847,847
afrideva,2,761,761
osxest,1,741,1629
roleplaiapp,29,727,897
l3utterfly,3,697,739
mav23,9,587,712
misaka27260,1,576,1423
snowflash383935,1,575,2570
johnroger,1,545,761
galactuuus,1,471,471
duyntnet,5,467,467
nlile,1,467,871
lewdiculous,2,464,519
koesn,3,364,364
triangle104,3,357,607
kutches,1,337,337
nexesquants,5,333,333
supernovaburn,1,303,303
babycommando,1,280,349
blossomsai,6,269,325
iieleven11,1,254,254
nkpz,14,247,534
drwhall,3,242,242
saukko,1,233,233
