family,quant,repos,downloads
,q2,2,257
3,none,4,16
3,q3,1,11
3epoch,none,1,5
8b,none,9,27
[],none,15,2023
[],q2,1,74
[],q8,1,430
a.x,q2,2,341
abliterated,q2,2,145
abliterated,q8,1,8
acegpt,q2,2,114
albert,none,1,16
am,none,1,126
am,q2,3,611
anjir,none,2,19
apollo,none,4,30
apollo,q2,1,147
apriel,none,1,13
arcee,none,1,83
arcee,q2,2,353
arcee,q3,3,15
arcee,q4,2,23
arcee,q5,2,21
arcee,q6,1,18
astral,q8,1,0
athene,none,1,7
athene,q2,2,276
aura,none,7,43
aura,q2,5,943
aya,fp16,1,33
aya,none,5,2228
aya,q2,4,1404
aya,q4,16,293
aya,q5,4,15
aya,q6,2,12
aya,q8,3,23
baichuan,q2,2,14775
barcenas,none,2,140
baronllm,q6,1,268
beepo,none,1,6
bellatrix,none,4,33
bellatrix,q2,5,8994
belle,none,1,2
boto,q2,2,368
buddyglassuncensored2025.2,q4,1,20
chai,none,1,3
chatframe,q2,2,302
codestral,none,1,6
codestral,q2,2,500
codet5p,none,1,13
collective,q2,1,192
collective,q4,1,44
command,bf16,1,844
command,none,2,111
command,q2,4,947
community,none,3,9
control,none,1,2
control,q2,2,956
cydonia,bf16,1,0
cydonia,none,1,47
daredevil,none,3,84
daredevil,q2,6,1101
daredevil,q4,2,10
daredevil,q8,1,13
darkauraunholy,q2,2,548
darkauraunholy,q8,1,7
darkdaredevilaura,q2,2,558
darkdaredevilaura,q8,1,1
darkest,none,1,1774
darkidol,fp16,1,32
darkidol,q2,8,1838
darkneuraldaredevil,q2,2,315
darkneuraldaredevil,q8,1,1
darkunholydaredevil,q2,4,364
darkunholydaredevil,q8,2,4
datarus,q2,2,887
davidau,q2,2,442
deberta,none,2,19
deep,q2,1,209
deepcoder,none,1,0
deepscaler,none,1,4
deepscaler,q2,3,332
deepscaler,q4,2,13
deepscaler,q5,2,16
deepscaler,q6,2,6
deepscaler,q8,2,8
deepseek,bf16,1,149
deepseek,none,26,97
deepseek,q2,15,7102
deepseek,q8,4,140
deepthought,q2,2,401
deepthought,q4,1,3
deepthought,q8,1,6
deneb,q2,2,420
devstral,none,1,3
devstral,q2,2,1146
dia,none,1,0
dippy,q2,6,560
dirty,fp16,2,248
dirty,q2,11,30228
dirty,q4,2,310
dirty,q5,2,758
dirty,q6,2,1132
distilbert,none,5,387
distilroberta,none,1,0
doctor,q2,2,6299
doujinshi,q2,2,0
doujinshi,q4,1,0
dp,q2,3,390
dpo,none,2,6
dracarys2,none,1,6
drakidol,q2,2,1864
drakidol,q6,1,13
drakidol,q8,1,24
dria,fp16,2,28
dria,none,2,15
dria,q2,5,815
dria,q4,4,191
dria,q5,4,29
dria,q6,2,12
dria,q8,2,17
drmedra4b,q2,6,1349
dukunlm,q2,2,968
eidolon,q2,2,25
eidolon,q4,1,3
electra,none,1,7
elita,q2,4,1192
esm2,none,1,14
exaone,bf16,1,180
exaone,none,10,3605
exaone,q2,9,2394
exaone,q3,1,119
exaone,q4,6,57
exaone,q8,2,4
falcon,bf16,1,2
falcon,none,10,742
falcon,q2,20,5641
falcon,q4,13,72
falcon,q5,9,65
falcon,q6,4,12
falcon,q8,4,24
fastthink,none,1,7
fastthink,q2,1,1186
fino1,none,1,4
fino1,q2,2,320
fluentlylm,none,1,5
fluentlylm,q2,2,1249
flux.1,nf4,1,0
flux.1,none,1,16
forgotten,none,2,6
foundation,none,1,45
foundation,q2,1,64
foundation,q4,1,3
fusechat,none,1,3
g3,q6,2,2
gemma,bf16,11,18797
gemma,fp16,2,1209
gemma,int4,2,73
gemma,none,147,33978
gemma,q2,156,160647
gemma,q3,10,76
gemma,q4,67,2260
gemma,q5,28,468
gemma,q6,13,553
gemma,q8,24,4381
gigachat,q2,2,1436
glm,bf16,2,566
glm,none,10,386
glm,q2,13,9457
glm,q3,3,5277
glm,q4,9,100
glm,q5,7,82
glm,q6,6,326
glm,q8,8,69
gpt,bf16,13,76547
gpt,none,5,1825
gpt,q2,2,10013
gpt,q4,4,7696
gpt,q5,2,1284
gpt,q6,2,918
gpt,q8,2,927
granite,bf16,1,174
granite,fp16,2,44
granite,none,9,87
granite,q2,14,2815
granite,q4,9,72
