model_id,provider,repo_name,canonical_model_key,family,base_hint,unaligned,is_packaged,packaging_detected,quant_detected,created_at,last_modified,license,downloads,likes
DavidAU/Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF,DavidAU,Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF,llama-3-2-8x3b-moe-dark-champion-instruct-uncensored-abliterated-18-4b,llama,['davidau/llama-3.2-8x3b-moe-dark-champion-instruct-uncensored-abliterated-18.4b'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2024-12-10 13:12:37+00:00,2025-06-26 07:32:09+00:00,,83005,274
mradermacher/DeepSeek-R1-Distill-Qwen-7B-Uncensored-i1-GGUF,mradermacher,DeepSeek-R1-Distill-Qwen-7B-Uncensored-i1-GGUF,deepseek-r1-distill-qwen-7b-uncensored,qwen,nicoboss/deepseek-r1-distill-qwen-7b-uncensored,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-01-21 20:59:59+00:00,2025-01-21 21:52:47+00:00,,27599,51
mradermacher/Dirty-Muse-Writer-v01-Uncensored-Erotica-NSFW-i1-GGUF,mradermacher,Dirty-Muse-Writer-v01-Uncensored-Erotica-NSFW-i1-GGUF,dirty-muse-writer-v01-uncensored-erotica-nsfw,dirty,mantis2024/dirty-muse-writer-v01-uncensored-erotica-nsfw,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-05-26 10:56:06+00:00,2025-07-11 01:54:36+00:00,,18735,4
DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored-GGUF,DavidAU,Gemma-The-Writer-N-Restless-Quill-10B-Uncensored-GGUF,gemma-the-writer-n-restless-quill-10b-uncensored,gemma,['davidau/gemma-the-writer-n-restless-quill-10b-uncensored'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2024-10-25 00:19:23+00:00,2025-05-28 03:16:05+00:00,,15557,86
TheBloke/Wizard-Vicuna-13B-Uncensored-GGUF,TheBloke,Wizard-Vicuna-13B-Uncensored-GGUF,wizard-vicuna-13b-uncensored,wizard,ehartford/wizard-vicuna-13b-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-19 22:57:46+00:00,2023-09-27 12:52:30+00:00,,13064,82
bartowski/Llama-3.2-3B-Instruct-uncensored-GGUF,bartowski,Llama-3.2-3B-Instruct-uncensored-GGUF,llama-3-2-3b-instruct-uncensored,llama,chuanli11/llama-3.2-3b-instruct-uncensored,True,,gguf,"imatrix,iq3_m,iq3_xs,iq4_xs,q2_k,q2_k_l,q3_k_l,q3_k_m,q3_k_s,q3_k_xl,q4_0,q4_k_l,q4_k_m,q4_k_s,q5_k_l,q5_k_m,q5_k_s,q6_k,q6_k_l,q8_0",2024-10-26 00:23:07+00:00,2024-10-26 00:35:56+00:00,,12839,63
DavidAU/L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B-GGUF,DavidAU,L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B-GGUF,l3-2-rogue-creative-instruct-uncensored-abliterated-7b,l3.2,['davidau/l3.2-rogue-creative-instruct-uncensored-abliterated-7b'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2024-10-28 10:09:51+00:00,2025-05-28 02:40:50+00:00,,12185,69
DavidAU/Llama-3.2-8X4B-MOE-V2-Dark-Champion-Instruct-uncensored-abliterated-21B-GGUF,DavidAU,Llama-3.2-8X4B-MOE-V2-Dark-Champion-Instruct-uncensored-abliterated-21B-GGUF,l3-2-8x4b-moe-v2-dark-champion-inst-21b-uncen-ablit,l3.2,['davidau/l3.2-8x4b-moe-v2-dark-champion-inst-21b-uncen-ablit'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-02-12 00:29:33+00:00,2025-05-28 01:19:11+00:00,,9449,64
mradermacher/Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-i1-GGUF,mradermacher,Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-i1-GGUF,qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored,qwen,davidau/qwen2.5-qwq-37b-eureka-triple-cubed-abliterated-uncensored,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-03-12 09:28:08+00:00,2025-07-11 10:10:36+00:00,,8259,6
DavidAU/Gemma-3-it-4B-Uncensored-DBL-X-GGUF,DavidAU,Gemma-3-it-4B-Uncensored-DBL-X-GGUF,gemma-3-4b-it-uncensored-dbl-x,gemma,davidau/gemma-3-4b-it-uncensored-dbl-x,True,,gguf,"iq4_nl,iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2025-03-17 07:33:28+00:00,2025-03-19 08:16:58+00:00,,8009,28
TheBloke/SOLAR-10.7B-Instruct-v1.0-uncensored-GGUF,TheBloke,SOLAR-10.7B-Instruct-v1.0-uncensored-GGUF,solar-10-7b-instruct-v1-0-uncensored,solar,w4r10ck/solar-10.7b-instruct-v1.0-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-12-19 16:20:38+00:00,2023-12-19 16:26:48+00:00,,7934,100
TheBloke/Luna-AI-Llama2-Uncensored-GGUF,TheBloke,Luna-AI-Llama2-Uncensored-GGUF,luna-ai-llama2-uncensored,llama,tap-m/luna-ai-llama2-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-06 02:12:58+00:00,2023-09-27 12:48:10+00:00,,7883,50
DavidAU/Reka-Flash-3-21B-Reasoning-Uncensored-MAX-NEO-Imatrix-GGUF,DavidAU,Reka-Flash-3-21B-Reasoning-Uncensored-MAX-NEO-Imatrix-GGUF,reka-flash-3,reka,['rekaai/reka-flash-3'],True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-03-19 09:04:17+00:00,2025-03-21 01:06:38+00:00,,6959,50
TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGUF,TheBloke,WizardLM-1.0-Uncensored-Llama2-13B-GGUF,wizardlm-1-0-uncensored-llama2-13b,llama,ehartford/wizardlm-1.0-uncensored-llama2-13b,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-05 15:11:13+00:00,2023-09-27 12:47:41+00:00,,6416,64
bartowski/uncensoredai_UncensoredLM-DeepSeek-R1-Distill-Qwen-14B-GGUF,bartowski,uncensoredai_UncensoredLM-DeepSeek-R1-Distill-Qwen-14B-GGUF,uncensoredlm-deepseek-r1-distill-qwen-14b,qwen,uncensoredai/uncensoredlm-deepseek-r1-distill-qwen-14b,True,,gguf,"imatrix,iq2_m,iq2_s,iq2_xs,iq3_m,iq3_xs,iq4_nl,iq4_xs,q2_k,q2_k_l,q3_k_l,q3_k_m,q3_k_s,q3_k_xl,q4_0,q4_1,q4_k_l,q4_k_m,q4_k_s,q5_k_l,q5_k_m,q5_k_s,q6_k,q6_k_l,q8_0",2025-02-02 02:02:39+00:00,2025-02-02 02:59:52+00:00,,6053,27
DavidAU/Llama-3.2-9B-Uncensored-Brainstorm-Alpha-GGUF,DavidAU,Llama-3.2-9B-Uncensored-Brainstorm-Alpha-GGUF,llama-3-2-9b-uncensored-brainstorm-alpha,llama,['davidau/llama-3.2-9b-uncensored-brainstorm-alpha'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-06-12 08:58:57+00:00,2025-06-20 02:41:09+00:00,,5839,7
DavidAU/Qwen3-8B-192k-Josiefied-Uncensored-NEO-Max-GGUF,DavidAU,Qwen3-8B-192k-Josiefied-Uncensored-NEO-Max-GGUF,qwen3-8b-192k-context-6x-josiefied-uncensored,qwen,['davidau/qwen3-8b-192k-context-6x-josiefied-uncensored'],True,,gguf,"imatrix,iq2_m,iq2_s,iq3_m,iq3_xxs,iq4_nl,iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-05-06 23:26:41+00:00,2025-05-09 07:55:44+00:00,,5838,22
